# Constructed from biom file
#OTU ID	ACB.StMiMe.15_100K-taxa	ACB.Saliva.17_100K-taxa	ACB.StMiMe.18_100K-taxa	ACB.StMiMe.2_100K-taxa	ACB.StMiMe.19_100K-taxa	ACB.Saliva.151_100K-taxa	ACB.Saliva.111_100K-taxa	ACB.StMiMe.8_100K-taxa	ACB.Saliva.31_100K-taxa	ACB.Saliva.100_100K-taxa	Consensus Lineage
2	520.0	81.0	264.0	351.0	305.0	11.0	238.0	424.0	182.0	352.0	k__Bacteria; p__; c__; o__; f__; g__; s__
1239	926.0	18.0	433.0	692.0	971.0	5.0	16.0	749.0	12.0	66.0	k__Bacteria; p__Bacillota; c__; o__; f__; g__; s__
186801	8.0	0.0	1.0	3.0	5.0	0.0	0.0	1.0	0.0	1.0	k__Bacteria; p__Bacillota; c__Clostridia; o__; f__; g__; s__
186802	2499.0	20.0	1187.0	3073.0	3368.0	5.0	2.0	3395.0	0.0	28.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__; g__; s__
186803	1512.0	7.0	878.0	1521.0	1698.0	4.0	3.0	1554.0	0.0	14.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__; s__
572511	547.0	5.0	184.0	644.0	945.0	0.0	0.0	872.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Blautia; s__
418240	4120.0	16.0	2391.0	2224.0	7665.0	0.0	1.0	2660.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Blautia; s__wexlerae
40520	1387.0	20.0	510.0	921.0	1415.0	0.0	0.0	553.0	0.0	2.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Blautia; s__obeum
2479767	165.0	4.0	76.0	217.0	231.0	0.0	0.0	243.0	1.0	1.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Blautia; s__sp. SC05B48
2877527	137.0	1.0	3.0	13.0	46.0	0.0	0.0	8.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Blautia; s__sp. NBRC 113351
1796616	45.0	0.0	6.0	17.0	14.0	0.0	0.0	11.0	0.0	1.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Blautia; s__pseudococcoides
33035	32.0	0.0	10.0	15.0	44.0	0.0	0.0	21.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Blautia; s__producta
1912897	31.0	0.0	4.0	17.0	45.0	0.0	0.0	19.0	0.0	1.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Blautia; s__argi
1322	23.0	0.0	4.0	18.0	7.0	0.0	0.0	20.0	0.0	1.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Blautia; s__hansenii
2779518	20.0	0.0	5.0	9.0	20.0	0.0	0.0	1.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Blautia; s__liquoris
39491	2451.0	32.0	4022.0	1311.0	4768.0	0.0	0.0	5900.0	0.0	2.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Agathobacter; s__rectalis
841	216.0	0.0	15.0	251.0	26.0	0.0	0.0	53.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Roseburia; s__
166486	1343.0	2.0	95.0	1385.0	201.0	0.0	0.0	395.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Roseburia; s__intestinalis
301301	195.0	4.0	329.0	213.0	214.0	0.0	0.0	351.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Roseburia; s__hominis
2763062	36.0	0.0	13.0	64.0	39.0	0.0	1.0	34.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Roseburia; s__rectibacter
39488	1694.0	1.0	736.0	881.0	2091.0	0.0	0.0	967.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerobutyricum; s__hallii
189330	6.0	0.0	12.0	3.0	13.0	0.0	0.0	8.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Dorea; s__
88431	964.0	5.0	1238.0	884.0	1349.0	0.0	0.0	1133.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Dorea; s__longicatena
39486	524.0	0.0	195.0	208.0	612.0	0.0	0.0	301.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Dorea; s__formicigenerans
207244	4.0	0.0	7.0	7.0	4.0	0.0	0.0	13.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerostipes; s__
649756	985.0	12.0	1547.0	637.0	1671.0	0.0	0.0	910.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerostipes; s__hadrus
105841	4.0	1.0	0.0	4.0	12.0	0.0	0.0	1.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerostipes; s__caccae
1229621	2.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerostipes; s__rhamnosivorans
33042	14.0	0.0	3.0	143.0	10.0	0.0	0.0	174.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Coprococcus; s__
410072	576.0	0.0	642.0	323.0	739.0	0.0	0.0	227.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Coprococcus; s__comes
116085	340.0	0.0	248.0	248.0	66.0	0.0	0.0	201.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Coprococcus; s__catus
751585	25.0	0.0	4.0	1058.0	13.0	0.0	0.0	1519.0	0.0	2.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Coprococcus; s__sp. ART55/1
33043	20.0	0.0	11.0	135.0	19.0	0.0	0.0	155.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Coprococcus; s__eutactus
2316020	4.0	0.0	7.0	8.0	15.0	0.0	0.0	13.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Mediterraneibacter; s__
33038	289.0	4.0	59.0	109.0	224.0	0.0	1.0	87.0	0.0	1.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Mediterraneibacter; s__[Ruminococcus] gnavus
46228	90.0	1.0	228.0	85.0	563.0	1.0	0.0	34.0	0.0	1.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Mediterraneibacter; s__[Ruminococcus] lactaris
33039	61.0	0.0	426.0	570.0	1635.0	0.0	0.0	782.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Mediterraneibacter; s__[Ruminococcus] torques
2763672	205.0	0.0	44.0	185.0	49.0	0.0	0.0	81.0	0.0	2.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Simiaoa; s__sunii
2719313	8.0	0.0	4.0	9.0	13.0	0.0	0.0	5.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Enterocloster; s__
208479	99.0	2.0	27.0	19.0	79.0	0.0	2.0	58.0	0.0	1.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Enterocloster; s__bolteae
333367	70.0	1.0	10.0	8.0	27.0	0.0	0.0	11.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Enterocloster; s__asparagiformis
1531	19.0	0.0	3.0	8.0	30.0	0.0	0.0	14.0	1.0	1.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Enterocloster; s__clostridioformis
29347	65.0	4.0	31.0	31.0	51.0	0.0	0.0	72.0	0.0	2.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Lachnoclostridium; s__[Clostridium] scindens
1871021	19.0	0.0	9.0	4.0	5.0	0.0	0.0	12.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Lachnoclostridium; s__phocaeense
89153	15.0	0.0	3.0	26.0	18.0	0.0	0.0	12.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Lachnoclostridium; s__[Clostridium] hylemonae
66219	7.0	0.0	4.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Lachnoclostridium; s__phytofermentans
168384	64.0	1.0	10.0	20.0	31.0	0.0	0.0	16.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Marvinbryantia; s__formatexigens
2719231	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Lacrimispora; s__
84030	24.0	0.0	11.0	17.0	16.0	0.0	0.0	17.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Lacrimispora; s__saccharolytica
29370	8.0	0.0	2.0	1.0	4.0	0.0	0.0	2.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Lacrimispora; s__sphenoides
29375	4.0	0.0	2.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Lacrimispora; s__xylanolytica
45851	18.0	0.0	11.0	33.0	2.0	0.0	0.0	35.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Butyrivibrio; s__crossotus
831	8.0	0.0	3.0	2.0	6.0	0.0	0.0	3.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Butyrivibrio; s__fibrisolvens
43305	5.0	0.0	0.0	1.0	2.0	0.0	0.0	3.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Butyrivibrio; s__proteoclasticus
